Date,Open,High,Low,Close,Volume
1998-01-02,24914,24914,24914,24914,0
1998-01-05,25734,25734,25734,25734,0
1998-01-07,25961,25961,25961,25961,0
1998-01-08,25675,25675,25675,25675,0
1998-01-09,25773,25773,25773,25773,0
1998-01-12,25731,25731,25731,25731,0
1998-01-13,26066,26066,26066,26066,0
1998-01-14,26219,26219,26219,26219,0
1998-01-15,26300,26300,26300,26300,0
1998-01-16,26683,26683,26683,26683,0
1998-01-19,26381,26381,26381,26381,0
1998-01-20,26803,26803,26803,26803,0
1998-01-21,26483,26483,26483,26483,0
1998-01-22,26703,26703,26703,26703,0
1998-01-23,26368,26368,26368,26368,0
1998-01-26,26500,26500,26500,26500,0
1998-01-27,26754,26754,26754,26754,0
1998-01-28,26966,26966,26966,26966,0
1998-01-29,27191,27191,27191,27191,0
1998-01-30,27549,27549,27549,27549,0
1998-02-02,27737,27737,27737,27737,0
1998-02-03,27525,27525,27525,27525,0
1998-02-04,27920,27920,27920,27920,0
1998-02-05,28206,28206,28206,28206,0
1998-02-06,28389,28389,28389,28389,0
1998-02-09,28267,28267,28267,28267,0
1998-02-10,28708,28708,28708,28708,0
1998-02-11,28923,28923,28923,28923,0
1998-02-12,28464,28464,28464,28464,0
1998-02-13,28477,28477,28477,28477,0
1998-02-16,28613,28613,28613,28613,0
1998-02-17,28945,28945,28945,28945,0
1998-02-18,28701,28701,28701,28701,0
1998-02-19,28247,28247,28247,28247,0
1998-02-20,27847,27847,27847,27847,0
1998-02-23,27759,27759,27759,27759,0
1998-02-24,27774,27774,27774,27774,0
1998-02-25,28564,28564,28564,28564,0
1998-02-26,28591,28591,28591,28591,0
1998-02-27,28542,28542,28542,28542,0
1998-03-02,29299,29299,29299,29299,0
1998-03-03,29431,29431,29431,29431,0
1998-03-04,29262,29262,29262,29262,0
1998-03-05,29414,29414,29414,29414,0
1998-03-06,29846,29846,29846,29846,0
1998-03-09,30282,30282,30282,30282,0
1998-03-10,30426,30426,30426,30426,0
1998-03-11,30424,30424,30424,30424,0
1998-03-12,30285,30285,30285,30285,0
1998-03-13,30739,30739,30739,30739,0
1998-03-16,31283,31283,31283,31283,0
1998-03-17,31378,31378,31378,31378,0
1998-03-18,31510,31510,31510,31510,0
1998-03-19,31602,31602,31602,31602,0
1998-03-20,32205,32205,32205,32205,0
1998-03-23,32554,32554,32554,32554,0
1998-03-24,33625,33625,33625,33625,0
1998-03-25,34006,34006,34006,34006,0
1998-03-26,34118,34118,34118,34118,0
1998-03-27,33781,33781,33781,33781,0
1998-03-30,34213,34213,34213,34213,0
1998-03-31,34545,34545,34545,34545,0
1998-04-01,35582,35582,35582,35582,0
1998-04-02,36261,36261,36261,36261,0
1998-04-03,36073,36073,36073,36073,0
1998-04-06,37437,37437,37437,37437,0
1998-04-07,36407,36407,36407,36407,0
1998-04-08,35104,35104,35104,35104,0
1998-04-09,34516,34516,34516,34516,0
1998-04-10,34960,34960,34960,34960,0
1998-04-14,35697,35697,35697,35697,0
1998-04-15,36483,36483,36483,36483,0
1998-04-16,35690,35690,35690,35690,0
1998-04-17,35829,35829,35829,35829,0
1998-04-20,35729,35729,35729,35729,0
1998-04-21,35948,35948,35948,35948,0
1998-04-22,35812,35812,35812,35812,0
1998-04-23,34504,34504,34504,34504,0
1998-04-24,33181,33181,33181,33181,0
1998-04-27,31136,31136,31136,31136,0
1998-04-28,32632,32632,32632,32632,0
1998-04-29,31463,31463,31463,31463,0
1998-04-30,32764,32764,32764,32764,0
1998-05-04,34218,34218,34218,34218,0
1998-05-05,33840,33840,33840,33840,0
1998-05-06,33825,33825,33825,33825,0
1998-05-07,33496,33496,33496,33496,0
1998-05-08,34296,34296,34296,34296,0
1998-05-11,35260,35260,35260,35260,0
1998-05-12,34760,34760,34760,34760,0
1998-05-13,34335,34335,34335,34335,0
1998-05-14,34167,34167,34167,34167,0
1998-05-15,34145,34145,34145,34145,0
1998-05-18,32984,32984,32984,32984,0
1998-05-19,34099,34099,34099,34099,0
1998-05-20,34011,34011,34011,34011,0
1998-05-21,34592,34592,34592,34592,0
1998-05-22,34838,34838,34838,34838,0
1998-05-25,35651,35651,35651,35651,0
1998-05-26,35839,35839,35839,35839,0
1998-05-27,34665,34665,34665,34665,0
1998-05-28,34487,34487,34487,34487,0
1998-05-29,34396,34396,34396,34396,0
1998-06-01,33852,33852,33852,33852,0
1998-06-02,34372,34372,34372,34372,0
1998-06-03,34675,34675,34675,34675,0
